"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_rilta_n_1000_tp_-1.385_th_1_lambda_2",".200",-1.385,"N = 1000","1000","2",500,406,81.2,356,71.2,21,4.2,468,93.6,32,"Yes",7863
"rilta_rilta_n_1000_tp_-0.85_th_1_lambda_2",".300",-0.85,"N = 1000","1000","2",500,403,80.6,333,66.6,24,4.8,456,91.2,44,"Yes",5732
"rilta_rilta_n_1000_tp_-0.41_th_1_lambda_2",".400",-0.41,"N = 1000","1000","2",500,421,84.2,341,68.2,8,1.6,469,93.8,31,"Yes",8115
"rilta_rilta_n_1000_tp_0.41_th_1_lambda_2",".600",0.41,"N = 1000","1000","2",500,412,82.4,337,67.4,13,2.6,468,93.6,32,"Yes",7863
"rilta_rilta_n_1000_tp_0.85_th_1_lambda_2",".700",0.85,"N = 1000","1000","2",500,424,84.8,337,67.4,16,3.2,475,95,25,"Yes",10050
"rilta_rilta_n_1000_tp_1.385_th_1_lambda_2",".800",1.385,"N = 1000","1000","2",500,412,82.4,349,69.8,7,1.4,473,94.6,27,"Yes",9310
"rilta_rilta_n_1000_tp_-1.385_th_1_lambda_2.5",".200",-1.385,"N = 1000","1000","2.5",500,424,84.8,326,65.2,16,3.2,468,93.6,32,"Yes",7863
"rilta_rilta_n_1000_tp_-0.85_th_1_lambda_2.5",".300",-0.85,"N = 1000","1000","2.5",500,442,88.4,330,66,9,1.8,479,95.8,21,"Yes",11955
"rilta_rilta_n_1000_tp_-0.41_th_1_lambda_2.5",".400",-0.41,"N = 1000","1000","2.5",500,417,83.4,343,68.6,18,3.6,473,94.6,27,"Yes",9310
"rilta_rilta_n_1000_tp_0.41_th_1_lambda_2.5",".600",0.41,"N = 1000","1000","2.5",500,414,82.8,340,68,20,4,470,94,30,"Yes",8384
"rilta_rilta_n_1000_tp_0.85_th_1_lambda_2.5",".700",0.85,"N = 1000","1000","2.5",500,428,85.6,346,69.2,10,2,474,94.8,26,"Yes",9666
"rilta_rilta_n_1000_tp_1.385_th_1_lambda_2.5",".800",1.385,"N = 1000","1000","2.5",500,428,85.6,324,64.8,23,4.6,475,95,25,"Yes",10050
"rilta_rilta_n_1000_tp_-1.385_th_1_lambda_3",".200",-1.385,"N = 1000","1000","3",500,422,84.4,350,70,23,4.6,470,94,30,"Yes",8384
"rilta_rilta_n_1000_tp_-0.85_th_1_lambda_3",".300",-0.85,"N = 1000","1000","3",500,410,82,332,66.4,24,4.8,468,93.6,32,"Yes",7863
"rilta_rilta_n_1000_tp_-0.41_th_1_lambda_3",".400",-0.41,"N = 1000","1000","3",500,410,82,345,69,14,2.8,467,93.4,33,"Yes",7626
"rilta_rilta_n_1000_tp_0.41_th_1_lambda_3",".600",0.41,"N = 1000","1000","3",500,396,79.2,319,63.8,13,2.6,452,90.4,48,"Yes",5259
"rilta_rilta_n_1000_tp_0.85_th_1_lambda_3",".700",0.85,"N = 1000","1000","3",500,393,78.6,332,66.4,15,3,461,92.2,39,"Yes",6461
"rilta_rilta_n_1000_tp_1.385_th_1_lambda_3",".800",1.385,"N = 1000","1000","3",500,401,80.2,346,69.2,26,5.2,467,93.4,33,"Yes",7626
