"FileName","Population","TPs","Lambda","N","N_numeric","Total_Rows","Total_Violations","Total_True_Violations","True_Violation_Perc","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.4",".700",0.85,0.4,"N = 2000","2000",500,134,134,26.8,26.8,0,0,0,0,366,"Yes",859
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.4",".800",1.385,0.4,"N = 2000","2000",500,97,97,19.4,19.4,0,0,0,0,403,"Yes",774
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,0.6,"N = 2000","2000",500,193,193,38.6,38.6,0,0,0,0,307,"Yes",1048
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,0.6,"N = 2000","2000",500,173,173,34.6,34.6,0,0,0,0,327,"Yes",975
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,0.6,"N = 2000","2000",500,220,220,44,44,0,0,0,0,280,"Yes",1167
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.6",".600",0.41,0.6,"N = 2000","2000",500,117,117,23.4,23.4,0,0,0,0,383,"Yes",818
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.6",".700",0.85,0.6,"N = 2000","2000",500,92,92,18.4,18.4,0,0,1,0.2,408,"Yes",764
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.6",".800",1.385,0.6,"N = 2000","2000",500,80,80,16,16,0,0,0,0,420,"Yes",740
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.8",".400",-0.41,0.8,"N = 2000","2000",500,166,166,33.2,33.2,0,0,0,0,334,"Yes",952
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.8",".300",-0.85,0.8,"N = 2000","2000",500,176,176,35.2,35.2,0,0,0,0,324,"Yes",985
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,0.8,"N = 2000","2000",500,194,194,38.8,38.8,0,0,0,0,306,"Yes",1052
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.8",".600",0.41,0.8,"N = 2000","2000",500,134,134,26.8,26.8,0,0,0,0,366,"Yes",859
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.8",".700",0.85,0.8,"N = 2000","2000",500,112,112,22.4,22.4,0,0,0,0,388,"Yes",806
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.8",".800",1.385,0.8,"N = 2000","2000",500,128,128,25.6,25.6,0,0,0,0,372,"Yes",844
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_1",".400",-0.41,1,"N = 2000","2000",500,179,179,35.8,35.8,0,0,0,0,321,"Yes",995
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_1",".300",-0.85,1,"N = 2000","2000",500,175,176,35.2,35,0,0,1,0.2,324,"Yes",985
