"N_numeric","N","Population","Model","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","D",499,20.6,0,3.6,22.8,18.6,0.4,3.7,21.5,854,670,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","0.3",499,45.5,0.4,38.9,69.5,48.4,0.7,39.4,69.5,2609,795,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","0.3",494,7.7,0.8,11.3,19.6,8.3,0.5,11.4,19.6,757,609,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","0.3",500,20.2,0.2,18.8,35.4,21.2,0.2,16.9,34.5,987,646,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","0.5",500,52,0.6,38.2,69.6,51.7,0.6,37.8,70,2630,790,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","0.5",496,7.9,0.4,9.7,17.3,9.4,0.3,9.7,18.4,743,606,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","0.5",500,19.4,0.2,17,31.6,20.8,0.2,15.8,32.9,926,621,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","0.7",499,50.9,0.8,43.5,69.3,53.9,0.7,42.5,74.1,2581,668,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","0.7",498,11.8,0.4,12.4,23.1,11.7,0.4,11.4,22,806,629,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","0.7",500,23.8,0,11,32.8,24.6,0.2,10,32.6,944,636,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","0.9",498,56.4,0.2,45.8,77.3,57.2,0.3,46.8,77.2,4300,979,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","0.9",499,16.4,0.6,13.4,29.1,15.9,0.6,13,27.9,886,639,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","0.9",499,31.9,0.2,8.4,36.9,35,0.1,7.5,39.7,1012,610,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","A",499,45.3,0.6,45.7,70.5,44.5,1.2,46.9,71.6,4308,1224,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","A",496,7.7,1,13.7,20.6,7.4,0.9,13.5,20.5,884,703,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","A",499,22.6,0,16.6,35.7,22.4,0.2,16.4,34.8,1011,659,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","B",500,43.2,0.4,36.4,62.6,47.2,0.7,36.9,66.8,4310,1429,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","B",499,8,0.2,13.2,20.4,8.1,0.7,14.1,21.7,886,694,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","B",499,21.6,0.2,22.4,39.5,21.9,0.3,20.5,38.4,1012,623,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","C",500,49.4,1,39.2,69.6,48.6,0.8,37.9,69.2,4310,1329,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","C",498,7.4,0.8,11.8,18.3,8.7,0.5,12,19.7,883,709,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","C",500,19.6,0.6,23.6,39.6,19.5,0.4,22.1,38.2,1013,626,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,1,".10, .30, .60","D",500,48,1.2,40.2,69.2,48.2,0.9,39.7,68.3,4312,1368,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,1,".10, .30, .60","D",500,7.6,0.4,14.4,21,7.7,0.3,15.3,22,887,692,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,1,".10, .30, .60","D",499,18.8,0,25.3,39.3,18.5,0.1,23.4,38.3,1011,624,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","0.3",500,56.2,0.6,27.2,68,57,0.6,25.6,67.9,2436,781,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","0.3",500,19.4,0.2,1.4,20.4,19,0.4,1.9,20.8,783,620,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","0.3",500,33.8,0.4,1.4,34.8,32.9,0.3,1.9,34.5,977,640,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","0.5",499,55.3,1,25.3,68.5,53.7,0.8,26.7,66.6,2487,831,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","0.5",497,24.5,1,1,25.8,24.4,1,1,25.6,837,623,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","0.5",498,30.7,0,3,33.1,30.8,0,3,33.2,944,631,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","0.7",500,57.6,0.4,28.8,70.8,56.9,0.4,30.8,69.1,2799,865,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","0.7",498,23.5,0.6,0.6,24.3,23,0.7,0.7,24.1,823,625,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","0.7",500,32.2,0.2,2.8,34.6,33.1,0.1,2.5,34.9,975,635,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","0.9",496,61.9,0.4,33.1,74.2,60.7,0.2,34.3,73.5,3392,899,"✅ Fixed"
