"FileName","Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_m1_n_500_tp_3.179_m_1_l_0.7","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","0.7",499,254,50.9,217,43.5,4,0.8,346,69.3,153,"Yes",2588
"rilta_lta_m1_n_500_tp_3.179_m_1_l_0.9","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","0.9",498,281,56.4,228,45.8,1,0.2,385,77.3,113,"Yes",4312
"rilta_lta_m1_n_500_tp_3.179_m_1_l_a","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","A",499,226,45.3,228,45.7,3,0.6,352,70.5,147,"Yes",2753
"rilta_lta_m1_n_500_tp_3.179_m_1_l_b","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","B",500,216,43.2,182,36.4,2,0.4,313,62.6,187,"Yes",1949
"rilta_lta_m1_n_500_tp_3.179_m_1_l_c","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","C",500,247,49.4,196,39.2,5,1,348,69.6,152,"Yes",2633
"rilta_lta_m1_n_500_tp_3.179_m_1_l_d","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","D",500,240,48,201,40.2,6,1.2,346,69.2,154,"Yes",2581
"rilta_lta_m1_n_500_tp_3.179_m_2_l_0.3","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","0.3",500,281,56.2,136,27.2,3,0.6,340,68,160,"Yes",2436
"rilta_lta_m1_n_500_tp_3.179_m_2_l_0.5","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","0.5",499,276,55.3,126,25.3,5,1,342,68.5,157,"Yes",2490
"rilta_lta_m1_n_500_tp_3.179_m_2_l_0.7","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","0.7",500,288,57.6,144,28.8,2,0.4,354,70.8,146,"Yes",2803
"rilta_lta_m1_n_500_tp_3.179_m_2_l_0.9","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","0.9",496,307,61.9,164,33.1,2,0.4,368,74.2,128,"Yes",3407
"rilta_lta_m1_n_500_tp_3.179_m_2_l_a","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","A",500,266,53.2,192,38.4,4,0.8,355,71,145,"Yes",2833
"rilta_lta_m1_n_500_tp_3.179_m_2_l_b","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","B",500,266,53.2,151,30.2,5,1,338,67.6,162,"Yes",2392
"rilta_lta_m1_n_500_tp_3.179_m_2_l_c","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","C",500,266,53.2,128,25.6,3,0.6,334,66.8,166,"Yes",2308
"rilta_lta_m1_n_500_tp_3.179_m_2_l_d","Model 1","N = 500",500,".800",3.179,2,".33, .33, .33","D",500,266,53.2,140,28,3,0.6,329,65.8,171,"Yes",2211
"rilta_lta_m1_n_500_tp_3.179_m_3_l_0.3","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","0.3",498,217,43.6,210,42.2,7,1.4,331,66.5,167,"Yes",2269
"rilta_lta_m1_n_500_tp_3.179_m_3_l_0.5","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","0.5",499,255,51.1,187,37.5,2,0.4,336,67.3,163,"Yes",2355
"rilta_lta_m1_n_500_tp_3.179_m_3_l_0.7","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","0.7",497,241,48.5,211,42.5,4,0.8,340,68.4,157,"Yes",2468
