"N_numeric","Population","Model","TPs","Mix","Mixing_proportion","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"5000",".200","Model 3",0.407,2,".33, .33, .33",500,8.8,0.2,7.2,14.6,8.8,0.2,7.2,14.6,500,427,"⚠️ Additional Runs Required"
"5000",".200","Model 1",0.407,3,".60, .30, .10",500,45.2,0.4,0,45.2,43.1,0.3,0.3,43.5,1196,676,"✅ Fixed"
"5000",".200","Model 2",0.407,3,".60, .30, .10",499,6.4,4.2,13.8,21,6.5,6.9,10.3,21.4,788,619,"✅ Fixed"
"5000",".200","Model 3",0.407,3,".60, .30, .10",500,10.4,0.4,6.8,17,8.9,0,7.3,15.7,750,632,"✅ Fixed"
"5000",".800","Model 1",3.179,1,".10, .30, .60",500,39,1.4,7.8,43.8,39,1.4,7.8,43.8,500,281,"⚠️ Additional Runs Required"
"5000",".800","Model 2",3.179,1,".10, .30, .60",500,4.2,0.4,14.4,18.4,4.2,0.4,14.4,18.4,500,408,"⚠️ Additional Runs Required"
"5000",".800","Model 3",3.179,1,".10, .30, .60",500,5.4,0.4,10.2,15.2,5.4,0.4,10.2,15.2,500,424,"⚠️ Additional Runs Required"
"5000",".800","Model 1",3.179,2,".33, .33, .33",500,43.2,1.2,1.6,44.8,43.2,1.2,1.6,44.8,500,276,"⚠️ Additional Runs Required"
"5000",".800","Model 2",3.179,2,".33, .33, .33",499,7.4,1.2,9,17,7.4,1.2,9,17,499,414,"⚠️ Additional Runs Required"
"5000",".800","Model 3",3.179,2,".33, .33, .33",500,8.8,0,5.4,14,8.8,0,5.4,14,500,430,"⚠️ Additional Runs Required"
"5000",".800","Model 1",3.179,3,".60, .30, .10",500,30,0,0.8,30.4,30,0,0.8,30.4,500,348,"⚠️ Additional Runs Required"
"5000",".800","Model 2",3.179,3,".60, .30, .10",500,3,2.6,11.4,16.2,3,2.6,11.4,16.2,500,419,"⚠️ Additional Runs Required"
"5000",".800","Model 3",3.179,3,".60, .30, .10",500,11.4,0.4,3.6,15.2,14.5,0.3,2.7,16.9,733,609,"✅ Fixed"
