"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","0.5",500,176,35.2,0,0,0,0,176,35.2,985
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","0.7",500,187,37.4,0,0,0,0,187,37.4,1024
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","0.9",500,205,41,0,0,0,0,205,41,1097
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","A",500,163,32.6,0,0,0,0,163,32.6,942
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","B",500,141,28.2,0,0,0,0,141,28.2,878
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","C",498,133,26.7,32,6.4,1,0.2,157,31.5,922
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","D",500,227,45.4,51,10.2,1,0.2,259,51.8,1400
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.3",500,122,24.4,0,0,0,0,122,24.4,829
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.5",499,136,27.3,0,0,0,0,136,27.3,864
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.7",500,146,29.2,0,0,0,0,146,29.2,892
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.9",500,156,31.2,0,0,0,0,156,31.2,921
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","A",500,141,28.2,0,0,0,0,141,28.2,878
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","B",500,130,26,0,0,0,0,130,26,849
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","C",500,118,23.6,20,4,0,0,133,26.6,857
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10","D",500,222,44.4,51,10.2,5,1,256,51.2,1378
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.3",500,252,50.4,0,0,0,0,252,50.4,1351
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.5",500,254,50.8,0,0,0,0,254,50.8,1364
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.7",500,264,52.8,2,0.4,1,0.2,266,53.2,1452
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.9",499,247,49.5,16,3.2,0,0,252,50.5,1352
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","A",500,260,52,0,0,0,0,260,52,1407
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","B",498,309,62,196,39.4,5,1,383,76.9,4171
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","C",500,323,64.6,339,67.8,4,0.8,438,87.6,35770
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60","D",500,355,71,351,70.2,2,0.4,448,89.6,500
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.3",500,254,50.8,0,0,0,0,254,50.8,1364
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.5",500,260,52,0,0,0,0,260,52,1407
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.7",500,274,54.8,0,0,0,0,274,54.8,1517
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.9",500,242,48.4,1,0.2,0,0,243,48.6,1293
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","A",500,260,52,0,0,0,0,260,52,1407
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","B",500,288,57.6,200,40,4,0.8,364,72.8,3142
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","C",499,331,66.3,393,78.8,4,0.8,457,91.6,499
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33","D",499,356,71.3,390,78.2,3,0.6,464,93,499
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.3",500,209,41.8,0,0,0,0,209,41.8,1115
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.5",500,219,43.8,3,0.6,0,0,221,44.2,1172
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.7",498,217,43.6,3,0.6,0,0,219,44,1162
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.9",495,235,47.5,29,5.9,2,0.4,245,49.5,1309
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","A",500,215,43,3,0.6,0,0,216,43.2,1147
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","B",488,206,42.2,281,57.6,10,2,359,73.6,3224
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","C",489,283,57.9,372,76.1,2,0.4,432,88.3,69913
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10","D",492,337,68.5,394,80.1,2,0.4,466,94.7,492
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.3",500,13,2.6,0,0,0,0,13,2.6,634
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.5",497,11,2.2,0,0,0,0,11,2.2,628
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.7",500,18,3.6,0,0,0,0,18,3.6,641
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.9",500,11,2.2,0,0,1,0.2,12,2.4,633
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","A",499,11,2.2,0,0,1,0.2,12,2.4,632
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","B",500,11,2.2,0,0,0,0,11,2.2,632
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","C",500,8,1.6,0,0,0,0,8,1.6,628
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60","D",500,17,3.4,0,0,0,0,17,3.4,640
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.3",500,43,8.6,0,0,0,0,43,8.6,677
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.5",499,33,6.6,0,0,0,0,33,6.6,661
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.7",500,27,5.4,0,0,0,0,27,5.4,654
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.9",500,45,9,0,0,0,0,45,9,680
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","A",500,34,6.8,0,0,0,0,34,6.8,664
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","B",499,28,5.6,0,0,0,0,28,5.6,654
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","C",500,29,5.8,0,0,0,0,29,5.8,656
