"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.3",500,221,44.2,175,35,2,0.4,317,63.4,2009
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.5",500,239,47.8,130,26,4,0.8,307,61.4,1867
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.7",500,247,49.4,147,29.4,2,0.4,319,63.8,2040
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","0.9",498,260,52.2,166,33.3,4,0.8,342,68.7,2509
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","A",500,242,48.4,176,35.2,6,1.2,346,69.2,2581
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","B",500,266,53.2,280,56,2,0.4,394,78.8,4957
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","C",500,275,55,319,63.8,6,1.2,416,83.2,8676
"Model 1","N = 500","500",".200",0.407,1,".10, .30, .60","D",500,283,56.6,306,61.2,4,0.8,418,83.6,9315
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.3",500,248,49.6,85,17,6,1.2,287,57.4,1638
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.5",500,243,48.6,96,19.2,0,0,290,58,1668
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.7",499,265,53.1,84,16.8,2,0.4,301,60.3,1794
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","0.9",498,238,47.8,102,20.5,1,0.2,284,57,1612
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","A",500,248,49.6,123,24.6,6,1.2,314,62.8,1964
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","B",499,294,58.9,249,49.9,4,0.8,399,80,5600
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","C",500,315,63,282,56.4,4,0.8,420,84,10055
"Model 1","N = 500","500",".200",0.407,2,".33, .33, .33","D",500,337,67.4,298,59.6,6,1.2,439,87.8,41722
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.3",500,227,45.4,133,26.6,4,0.8,293,58.6,1700
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.5",497,224,45.1,139,28,4,0.8,300,60.4,1793
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.7",496,242,48.8,142,28.6,5,1,319,64.3,2064
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","0.9",487,228,46.8,135,27.7,2,0.4,299,61.4,1820
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","A",497,228,45.9,147,29.6,3,0.6,308,62,1896
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","B",497,268,53.9,288,57.9,5,1,396,79.7,5400
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","C",497,263,52.9,327,65.8,1,0.2,413,83.1,8479
"Model 1","N = 500","500",".200",0.407,3,".60, .30, .10","D",498,276,55.4,337,67.7,0,0,416,83.5,9110
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","0.3",500,9,1.8,27,5.4,1,0.2,37,7.4,668
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","0.5",499,16,3.2,21,4.2,2,0.4,39,7.8,670
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","0.7",497,23,4.6,20,4,3,0.6,46,9.3,679
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","0.9",500,36,7.2,26,5.2,5,1,65,13,713
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","A",500,20,4,24,4.8,1,0.2,44,8.8,679
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","B",500,30,6,15,3,4,0.8,47,9.4,684
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","C",500,33,6.6,20,4,3,0.6,55,11,697
"Model 2","N = 500","500",".200",0.407,1,".10, .30, .60","D",500,43,8.6,27,5.4,2,0.4,66,13.2,715
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","0.3",499,32,6.4,19,3.8,5,1,56,11.2,697
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","0.5",499,41,8.2,36,7.2,1,0.2,78,15.6,735
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","0.7",499,44,8.8,24,4.8,5,1,69,13.8,719
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","0.9",499,72,14.4,12,2.4,5,1,86,17.2,750
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","A",500,35,7,26,5.2,2,0.4,63,12.6,710
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","B",499,45,9,19,3.8,4,0.8,67,13.4,716
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","C",500,68,13.6,14,2.8,5,1,84,16.8,748
"Model 2","N = 500","500",".200",0.407,2,".33, .33, .33","D",499,67,13.4,17,3.4,2,0.4,84,16.8,747
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","0.3",497,55,11.1,20,4,4,0.8,78,15.7,734
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","0.5",496,57,11.5,18,3.6,1,0.2,75,15.1,727
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","0.7",498,62,12.4,16,3.2,3,0.6,77,15.5,733
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","0.9",498,75,15.1,10,2,3,0.6,88,17.7,754
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","A",498,49,9.8,18,3.6,5,1,70,14.1,720
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","B",494,69,14,9,1.8,1,0.2,74,15,723
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","C",496,70,14.1,15,3,1,0.2,83,16.7,742
"Model 2","N = 500","500",".200",0.407,3,".60, .30, .10","D",496,49,9.9,13,2.6,3,0.6,64,12.9,707
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","0.3",500,98,19.6,58,11.6,2,0.4,143,28.6,883
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","0.5",500,109,21.8,30,6,2,0.4,126,25.2,839
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","0.7",498,124,24.9,31,6.2,2,0.4,150,30.1,901
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","0.9",500,184,36.8,13,2.6,2,0.4,193,38.6,1048
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","A",500,78,15.6,42,8.4,2,0.4,111,22.2,804
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","B",500,165,33,176,35.2,6,1.2,246,49.2,1312
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","C",499,255,51.1,310,62.1,9,1.8,397,79.6,5364
"Model 3","N = 500","500",".200",0.407,1,".10, .30, .60","D",499,280,56.1,342,68.5,6,1.2,432,86.6,20847
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","0.3",500,134,26.8,12,2.4,0,0,146,29.2,892
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","0.5",498,149,29.9,20,4,3,0.6,164,32.9,943
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","0.7",500,129,25.8,18,3.6,0,0,143,28.6,883
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","0.9",500,181,36.2,12,2.4,2,0.4,187,37.4,1024
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","A",499,149,29.9,7,1.4,0,0,153,30.7,911
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","B",500,151,30.2,20,4,1,0.2,162,32.4,939
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","C",499,221,44.3,121,24.2,3,0.6,283,56.7,1600
"Model 3","N = 500","500",".200",0.407,2,".33, .33, .33","D",499,275,55.1,182,36.5,3,0.6,345,69.1,2563
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","0.3",499,118,23.6,6,1.2,0,0,123,24.6,830
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","0.5",499,110,22,8,1.6,1,0.2,117,23.4,816
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","0.7",498,134,26.9,14,2.8,0,0,143,28.7,881
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","0.9",497,144,29,11,2.2,0,0,148,29.8,895
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","A",497,121,24.3,14,2.8,0,0,132,26.6,852
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","B",498,102,20.5,2,0.4,1,0.2,104,20.9,787
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","C",499,141,28.3,34,6.8,2,0.4,162,32.5,939
"Model 3","N = 500","500",".200",0.407,3,".60, .30, .10","D",495,203,41,79,16,2,0.4,246,49.7,1315
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","0.3",499,223,44.7,200,40.1,2,0.4,339,67.9,2420
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","0.5",498,253,50.8,190,38.2,5,1,345,69.3,2583
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","0.7",499,257,51.5,203,40.7,6,1.2,356,71.3,2875
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","0.9",499,274,54.9,217,43.5,1,0.2,370,74.1,3404
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","A",499,254,50.9,229,45.9,5,1,373,74.7,3545
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","B",498,295,59.2,295,59.2,6,1.2,410,82.3,7488
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","C",500,281,56.2,344,68.8,2,0.4,435,87,25055
"Model 1","N = 500","500",".800",3.179,1,".10, .30, .60","D",499,310,62.1,336,67.3,2,0.4,440,88.2,62430
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","0.3",500,280,56,133,26.6,4,0.8,339,67.8,2414
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","0.5",500,295,59,133,26.6,6,1.2,354,70.8,2803
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","0.7",499,295,59.1,142,28.5,4,0.8,363,72.7,3117
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","0.9",497,316,63.6,156,31.4,3,0.6,371,74.6,3507
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","A",499,298,59.7,149,29.9,6,1.2,361,72.3,3044
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","B",499,321,64.3,292,58.5,0,0,417,83.6,9296
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","C",500,351,70.2,321,64.2,5,1,439,87.8,41722
"Model 1","N = 500","500",".800",3.179,2,".33, .33, .33","D",500,353,70.6,333,66.6,5,1,451,90.2,500
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","0.3",499,226,45.3,215,43.1,6,1.2,340,68.1,2443
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","0.5",499,263,52.7,189,37.9,3,0.6,347,69.5,2614
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","0.7",496,242,48.8,215,43.3,2,0.4,346,69.8,2639
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","0.9",499,285,57.1,209,41.9,4,0.8,361,72.3,3044
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","A",496,239,48.2,210,42.3,4,0.8,344,69.4,2586
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","B",499,303,60.7,290,58.1,3,0.6,421,84.4,10903
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","C",498,286,57.4,333,66.9,2,0.4,424,85.1,12825
"Model 1","N = 500","500",".800",3.179,3,".60, .30, .10","D",498,285,57.2,330,66.3,3,0.6,423,84.9,12202
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","0.3",495,32,6.5,62,12.5,3,0.6,97,19.6,769
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","0.5",496,30,6,55,11.1,1,0.2,83,16.7,742
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","0.7",497,51,10.3,61,12.3,4,0.8,107,21.5,792
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","0.9",499,67,13.4,63,12.6,1,0.2,126,25.3,839
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","A",497,34,6.8,64,12.9,2,0.4,95,19.1,767
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","B",499,49,9.8,53,10.6,4,0.8,99,19.8,777
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","C",497,35,7,59,11.9,1,0.2,92,18.5,760
"Model 2","N = 500","500",".800",3.179,1,".10, .30, .60","D",495,29,5.9,59,11.9,4,0.8,90,18.2,755
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","0.3",499,79,15.8,9,1.8,2,0.4,88,17.6,754
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","0.5",499,106,21.2,4,0.8,6,1.2,112,22.4,805
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","0.7",497,102,20.5,2,0.4,5,1,107,21.5,792
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","0.9",499,127,25.5,4,0.8,0,0,130,26.1,849
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","A",498,78,15.7,6,1.2,3,0.6,85,17.1,748
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","B",70,18,25.7,0,0,0,0,18,25.7,166
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","C",498,93,18.7,3,0.6,1,0.2,97,19.5,772
"Model 2","N = 500","500",".800",3.179,2,".33, .33, .33","D",499,73,14.6,6,1.2,4,0.8,82,16.4,743
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","0.3",499,52,10.4,30,6,4,0.8,82,16.4,743
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","0.5",496,78,15.7,21,4.2,3,0.6,100,20.2,776
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","0.7",497,81,16.3,7,1.4,4,0.8,91,18.3,758
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","0.9",498,103,20.7,5,1,2,0.4,109,21.9,798
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","A",498,56,11.2,33,6.6,3,0.6,88,17.7,754
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","B",499,64,12.8,23,4.6,1,0.2,87,17.4,752
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","C",497,70,14.1,18,3.6,3,0.6,88,17.7,753
"Model 2","N = 500","500",".800",3.179,3,".60, .30, .10","D",498,65,13.1,26,5.2,1,0.2,86,17.3,750
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","0.3",500,102,20.4,102,20.4,1,0.2,183,36.6,1010
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","0.5",500,105,21,88,17.6,1,0.2,170,34,965
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","0.7",500,134,26.8,61,12.2,0,0,183,36.6,1010
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","0.9",499,171,34.3,45,9,1,0.2,195,39.1,1055
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","A",500,108,21.6,95,19,2,0.4,180,36,999
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","B",500,133,26.6,133,26.6,5,1,216,43.2,1147
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","C",500,237,47.4,284,56.8,7,1.4,377,75.4,3732
"Model 3","N = 500","500",".800",3.179,1,".10, .30, .60","D",498,290,58.2,328,65.9,13,2.6,436,87.6,35627
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","0.3",500,182,36.4,9,1.8,3,0.6,191,38.2,1040
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","0.5",499,158,31.7,17,3.4,0,0,167,33.5,955
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","0.7",500,171,34.2,18,3.6,0,0,185,37,1017
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","0.9",500,180,36,19,3.8,0,0,192,38.4,1044
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","A",500,143,28.6,17,3.4,0,0,152,30.4,909
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","B",500,165,33,25,5,1,0.2,181,36.2,1002
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","C",498,163,32.7,83,16.7,0,0,224,45,1187
"Model 3","N = 500","500",".800",3.179,2,".33, .33, .33","D",498,219,44,163,32.7,5,1,307,61.6,1873
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","0.3",499,112,22.4,16,3.2,1,0.2,123,24.6,830
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","0.5",499,123,24.6,15,3,1,0.2,134,26.9,859
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","0.7",500,133,26.6,17,3.4,2,0.4,142,28.4,881
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","0.9",499,139,27.9,30,6,0,0,162,32.5,939
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","A",497,119,23.9,14,2.8,2,0.4,131,26.4,849
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","B",499,113,22.6,16,3.2,0,0,122,24.4,828
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","C",497,128,25.8,65,13.1,0,0,175,35.2,979
"Model 3","N = 500","500",".800",3.179,3,".60, .30, .10","D",497,231,46.5,140,28.2,1,0.2,308,62,1896
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.3",499,460,92.2,230,46.1,14,2.8,476,95.4,499
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.5",500,430,86,237,47.4,20,4,471,94.2,500
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.7",499,387,77.6,260,52.1,21,4.2,440,88.2,62430
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.9",389,301,77.4,0,0,0,0,301,77.4,3409
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","A",500,236,47.2,63,12.6,6,1.2,280,56,1571
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","B",500,279,55.8,240,48,3,0.6,380,76,3902
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","C",499,297,59.5,305,61.1,4,0.8,412,82.6,7852
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","D",500,320,64,301,60.2,3,0.6,432,86.4,19286
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.3",499,448,89.8,222,44.5,19,3.8,467,93.6,499
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.5",500,424,84.8,232,46.4,23,4.6,461,92.2,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.7",500,400,80,270,54,14,2.8,450,90,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.9",500,368,73.6,278,55.6,14,2.8,448,89.6,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","A",500,254,50.8,53,10.6,10,2,286,57.2,1628
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","B",498,283,56.8,246,49.4,6,1.2,385,77.3,4312
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","C",499,319,63.9,287,57.5,2,0.4,422,84.6,11396
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","D",500,354,70.8,305,61,5,1,439,87.8,41722
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.3",496,465,93.8,131,26.4,8,1.6,474,95.6,496
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.5",497,437,87.9,152,30.6,11,2.2,451,90.7,497
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.7",496,387,78,178,35.9,9,1.8,426,85.9,16056
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.9",492,294,59.8,185,37.6,7,1.4,372,75.6,3727
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","A",499,216,43.3,91,18.2,4,0.8,269,53.9,1477
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","B",498,247,49.6,279,56,6,1.2,380,76.3,3977
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","C",500,259,51.8,339,67.8,1,0.2,420,84,10055
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","D",500,310,62,377,75.4,0,0,441,88.2,62555
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","A",500,442,88.4,97,19.4,52,10.4,457,91.4,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","A",500,410,82,37,7.4,75,15,435,87,25055
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","A",498,431,86.5,113,22.7,72,14.5,451,90.6,498
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","B",500,476,95.2,47,9.4,20,4,479,95.8,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","B",500,445,89,37,7.4,42,8.4,455,91,500
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","B",496,462,93.1,87,17.5,84,16.9,476,96,496
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","C",500,478,95.6,76,15.2,25,5,481,96.2,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","C",499,455,91.2,35,7,85,17,472,94.6,499
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","C",497,463,93.2,79,15.9,87,17.5,474,95.4,497
"Model 1","N = 1000","1000",".200",0.407,1,".10, .30, .60","D",500,480,96,67,13.4,41,8.2,486,97.2,500
"Model 1","N = 1000","1000",".200",0.407,2,".33, .33, .33","D",500,443,88.6,24,4.8,104,20.8,461,92.2,500
"Model 1","N = 1000","1000",".200",0.407,3,".60, .30, .10","D",497,466,93.8,95,19.1,107,21.5,480,96.6,497
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.3",500,498,99.6,178,35.6,33,6.6,499,99.8,500
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.5",498,489,98.2,202,40.6,27,5.4,493,99,498
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.7",500,490,98,199,39.8,24,4.8,494,98.8,500
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.9",499,486,97.4,174,34.9,18,3.6,489,98,499
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","A",499,4,0.8,4,0.8,4,0.8,12,2.4,632
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","B",500,10,2,4,0.8,3,0.6,17,3.4,640
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","C",500,16,3.2,3,0.6,1,0.2,20,4,644
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","D",499,18,3.6,4,0.8,3,0.6,24,4.8,648
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.3",500,487,97.4,181,36.2,55,11,490,98,500
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.5",499,488,97.8,195,39.1,48,9.6,493,98.8,499
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.7",499,488,97.8,190,38.1,26,5.2,490,98.2,499
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.9",497,479,96.4,174,35,25,5,486,97.8,497
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","A",500,31,6.2,5,1,2,0.4,37,7.4,668
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","B",499,41,8.2,3,0.6,3,0.6,46,9.2,681
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","C",500,43,8.6,3,0.6,1,0.2,47,9.4,684
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","D",499,48,9.6,2,0.4,2,0.4,51,10.2,689
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.3",499,484,97,188,37.7,70,14,492,98.6,499
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.5",500,486,97.2,191,38.2,58,11.6,488,97.6,500
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.7",498,484,97.2,157,31.5,43,8.6,491,98.6,498
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","0.9",499,472,94.6,129,25.9,33,6.6,479,96,499
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","A",498,45,9,3,0.6,2,0.4,48,9.6,683
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","B",498,53,10.6,1,0.2,1,0.2,55,11,694
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","C",500,57,11.4,1,0.2,2,0.4,59,11.8,703
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","D",500,56,11.2,1,0.2,4,0.8,60,12,705
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","A",500,491,98.2,22,4.4,61,12.2,493,98.6,500
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","A",500,487,97.4,25,5,67,13.4,488,97.6,500
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","A",500,491,98.2,39,7.8,84,16.8,493,98.6,500
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","B",500,495,99,40,8,50,10,496,99.2,500
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","B",500,488,97.6,52,10.4,96,19.2,490,98,500
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","B",500,491,98.2,38,7.6,89,17.8,493,98.6,500
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","C",499,488,97.8,23,4.6,53,10.6,490,98.2,499
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","C",499,482,96.6,65,13,98,19.6,488,97.8,499
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","C",499,494,99,58,11.6,105,21,496,99.4,499
"Model 2","N = 1000","1000",".200",0.407,1,".10, .30, .60","D",500,488,97.6,37,7.4,59,11.8,490,98,500
"Model 2","N = 1000","1000",".200",0.407,2,".33, .33, .33","D",499,487,97.6,48,9.6,112,22.4,491,98.4,499
"Model 2","N = 1000","1000",".200",0.407,3,".60, .30, .10","D",499,489,98,100,20,178,35.7,492,98.6,499
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.3",500,499,99.8,116,23.2,2,0.4,500,100,500
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.5",500,498,99.6,141,28.2,2,0.4,500,100,500
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.7",500,499,99.8,164,32.8,10,2,499,99.8,500
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","0.9",500,498,99.6,181,36.2,17,3.4,499,99.8,500
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","A",499,94,18.8,8,1.6,4,0.8,106,21.2,791
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","B",500,158,31.6,133,26.6,11,2.2,218,43.6,1157
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","C",499,275,55.1,305,61.1,10,2,399,80,5600
"Model 3","N = 1000","1000",".200",0.407,1,".10, .30, .60","D",500,272,54.4,332,66.4,1,0.2,424,84.8,11960
"Model 3","N = 1000","1000",".200",0.407,2,".33, .33, .33","0.3",500,494,98.8,107,21.4,3,0.6,494,98.8,500
