"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,"N = 2000","2000","0.6",872,330,37.8,0,0,0,0,330,37.8,542,"No",854
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.6",".600",0.41,"N = 2000","2000","0.6",872,317,36.4,0,0,0,0,317,36.4,555,"No",837
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.6",".700",0.85,"N = 2000","2000","0.6",852,290,34,0,0,1,0.1,291,34.2,561,"No",810
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.6",".800",1.385,"N = 2000","2000","0.6",912,300,32.9,0,0,0,0,300,32.9,612,"No",796
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,"N = 2000","2000","0.8",924,391,42.3,0,0,0,0,391,42.3,533,"No",917
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.8",".300",-0.85,"N = 2000","2000","0.8",1052,435,41.3,0,0,0,0,435,41.3,617,"No",902
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.8",".400",-0.41,"N = 2000","2000","0.8",915,353,38.6,0,0,0,0,353,38.6,562,"No",865
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.8",".600",0.41,"N = 2000","2000","0.8",988,362,36.6,0,0,0,0,362,36.6,626,"No",839
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.8",".700",0.85,"N = 2000","2000","0.8",961,338,35.2,0,0,0,0,338,35.2,623,"No",822
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.8",".800",1.385,"N = 2000","2000","0.8",878,293,33.4,0,0,0,0,293,33.4,585,"No",801
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_1",".200",-1.385,"N = 2000","2000","1",921,419,45.5,0,0,0,0,419,45.5,502,"No",968
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_1",".300",-0.85,"N = 2000","2000","1",847,336,39.7,0,0,1,0.1,336,39.7,511,"No",880
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_1",".400",-0.41,"N = 2000","2000","1",933,392,42,0,0,1,0.1,393,42.1,540,"No",914
"rilta_lta_n_2000_tp_0.41_th_1_lambda_1",".600",0.41,"N = 2000","2000","1",906,343,37.9,0,0,0,0,343,37.9,563,"No",856
