Model,Population,N,Mixing_proportion,Lambda,average,Parameter_Bias,SE_Bias,Power,Coverage
Model 1,0.2,N = 5000,".33, .33, .33",0.7,0.397561,98.7805,7.85514,1,0.002712
Model 1,0.2,N = 5000,".33, .33, .33",0.9,0.459768,129.884,6.77281,1,0
Model 1,0.2,N = 5000,".33, .33, .33",A,0.204544,2.272,9.46727,1,0.94658
Model 1,0.2,N = 5000,".33, .33, .33",B,0.217504,8.752,6.57378,1,0.926338
Model 1,0.2,N = 5000,".33, .33, .33",C,0.229215,14.6075,6.25627,1,0.858614
Model 1,0.2,N = 5000,".33, .33, .33",D,0.239561,19.7805,6.34018,1,0.7830360000000001
Model 1,0.2,N = 5000,".60, .30, .10",0.3,0.226852,13.426,9.59494,1,0.76007
Model 1,0.2,N = 5000,".60, .30, .10",0.5,0.26868800000000004,34.344,3.30322,1,0.151794
Model 1,0.2,N = 5000,".60, .30, .10",0.7,0.317075,58.5375,4.92403,1,0.01621
Model 1,0.2,N = 5000,".60, .30, .10",0.9,0.342298,71.149,0.9550599999999999,1,0.042424
Model 1,0.2,N = 5000,".60, .30, .10",A,0.20086900000000002,0.4345,7.331169999999999,1,0.965962
Model 1,0.2,N = 5000,".60, .30, .10",B,0.213724,6.862,0.38937000000000005,1,0.9094
Model 1,0.2,N = 5000,".60, .30, .10",C,0.222659,11.3295,6.1238399999999995,1,0.847646
Model 1,0.2,N = 5000,".60, .30, .10",D,0.23045000000000002,15.225,0.44681999999999994,1,0.75639
Model 1,0.8,N = 1000,".10, .30, .60",0.3,0.794332,-0.71033,17.19823,0.987382,0.948508
Model 1,0.8,N = 1000,".10, .30, .60",0.5,0.8210449999999999,2.62831,11.74315,0.985954,0.908636
Model 1,0.8,N = 1000,".10, .30, .60",0.7,0.8617319999999999,7.71401,15.35497,0.987792,0.813226
Model 1,0.8,N = 1000,".10, .30, .60",0.9,0.9032870000000001,12.908389999999999,10.16022,0.992842,0.645126
Model 1,0.8,N = 1000,".10, .30, .60",A,0.7381679999999999,-7.73152,16.2953,0.9692259999999999,0.910562
Model 1,0.8,N = 1000,".10, .30, .60",B,0.6796540000000001,-15.04296,14.97916,0.963776,0.876906
Model 1,0.8,N = 1000,".10, .30, .60",C,0.654836,-18.14711,13.97981,0.945052,0.842756
Model 1,0.8,N = 1000,".10, .30, .60",D,0.646607,-19.17645,15.02452,0.930404,0.826276
Model 1,0.8,N = 1000,".33, .33, .33",0.3,0.81039,1.29988,3.09264,1,0.93603
Model 1,0.8,N = 1000,".33, .33, .33",0.5,0.8216469999999999,2.70328,2.44566,0.99855,0.925656
Model 1,0.8,N = 1000,".33, .33, .33",0.7,0.837997,4.74724,4.80243,1,0.85693
Model 1,0.8,N = 1000,".33, .33, .33",0.9,0.854762,6.84286,8.13155,0.99891,0.800206
Model 1,0.8,N = 1000,".33, .33, .33",A,0.773352,-3.33362,3.78483,0.996096,0.9435939999999999
Model 1,0.8,N = 1000,".33, .33, .33",B,0.764769,-4.40636,10.1276,0.997326,0.935204
Model 1,0.8,N = 1000,".33, .33, .33",C,0.760182,-4.97974,14.15799,0.997386,0.936114
Model 1,0.8,N = 1000,".33, .33, .33",D,0.753229,-5.84897,11.29824,0.998248,0.926678
Model 1,0.8,N = 1000,".60, .30, .10",0.3,0.7995950000000001,-0.0511,1.37926,0.998514,0.965772
Model 1,0.8,N = 1000,".60, .30, .10",0.5,0.805416,0.67948,-2.82206,1,0.942958
Model 1,0.8,N = 1000,".60, .30, .10",0.7,0.8136519999999999,1.70518,-2.6058,0.998746,0.916616
Model 1,0.8,N = 1000,".60, .30, .10",0.9,0.81709,2.13381,1.47635,0.998802,0.906734
Model 1,0.8,N = 1000,".60, .30, .10",A,0.778483,-2.69201,-13.28511,0.996912,0.951614
Model 1,0.8,N = 1000,".60, .30, .10",B,0.7895220000000001,-1.31233,4.04502,0.998276,0.9546319999999999
Model 1,0.8,N = 1000,".60, .30, .10",C,0.785761,-1.78241,4.33013,0.99902,0.96278
Model 1,0.8,N = 1000,".60, .30, .10",D,0.788481,-1.44228,8.506,0.995178,0.9532579999999999
Model 1,0.8,N = 2500,".10, .30, .60",0.3,0.806544,0.82022,7.73639,1,0.94696
Model 1,0.8,N = 2500,".10, .30, .60",0.5,0.83577,4.46861,8.04035,1,0.912458
Model 1,0.8,N = 2500,".10, .30, .60",0.7,0.871731,8.96373,8.19864,1,0.762316
Model 1,0.8,N = 2500,".10, .30, .60",0.9,0.91218,14.01999,7.34538,1,0.560276
Model 1,0.8,N = 2500,".10, .30, .60",A,0.766374,-4.20583,6.49531,1,0.9337340000000001
Model 1,0.8,N = 2500,".10, .30, .60",B,0.696796,-12.903,4.97161,0.999444,0.747048
Model 1,0.8,N = 2500,".10, .30, .60",C,0.671095,-16.11306,6.59371,0.998306,0.642898
Model 1,0.8,N = 2500,".10, .30, .60",D,0.657714,-17.78666,9.35463,0.998824,0.60689
Model 1,0.8,N = 2500,".33, .33, .33",0.3,0.8073450000000001,0.92044,-0.23923999999999998,1,0.927694
Model 1,0.8,N = 2500,".33, .33, .33",0.5,0.8236859999999999,2.9582,1.8693499999999998,1,0.887178
Model 1,0.8,N = 2500,".33, .33, .33",0.7,0.838696,4.8345,0.96488,1,0.754
Model 1,0.8,N = 2500,".33, .33, .33",0.9,0.85104899999999994,6.37851,-1.13286,1,0.717086
Model 1,0.8,N = 2500,".33, .33, .33",A,0.780126,-2.4868099999999997,-0.30595,1,0.913682
Model 1,0.8,N = 2500,".33, .33, .33",B,0.76748,-4.0675799999999995,0.86744,1,0.853196
Model 1,0.8,N = 2500,".33, .33, .33",C,0.760675,-4.91819,-1.02906,1,0.8358019999999999
Model 1,0.8,N = 2500,".33, .33, .33",D,0.758012,-5.2511,4.68506,1,0.81996
Model 1,0.8,N = 2500,".60, .30, .10",0.3,0.8016690000000001,0.2109,-2.69501,1,0.95472
