Model,Population,N,Mixing_proportion,Lambda,average,Parameter_Bias,SE_Bias,Power,Coverage
Model 3,0.8,N = 2500,".60, .30, .10",A,0.8107460000000001,1.34574,-3.4529099999999997,1,0.8995
Model 3,0.8,N = 2500,".60, .30, .10",B,0.8146199999999999,1.82492,-2.0673,1,0.875834
Model 3,0.8,N = 2500,".60, .30, .10",C,0.82548,3.1825200000000002,-3.0641599999999998,1,0.7295079999999999
Model 3,0.8,N = 2500,".60, .30, .10",D,0.83695,4.61629,-2.05474,1,0.6046199999999999
Model 3,0.8,N = 500,".10, .30, .60",0.3,0.77844,-2.69759,20.24196,0.990736,0.920266
Model 3,0.8,N = 500,".10, .30, .60",0.5,0.780656,-2.42044,18.23863,0.996808,0.934766
Model 3,0.8,N = 500,".10, .30, .60",0.7,0.778607,-2.6765,17.90957,0.995274,0.93688
Model 3,0.8,N = 500,".10, .30, .60",0.9,0.786371,-1.70614,14.36139,0.996732,0.947244
Model 3,0.8,N = 500,".10, .30, .60",A,0.760156,-4.983,16.77417,0.992374,0.923856
Model 3,0.8,N = 500,".10, .30, .60",B,0.783881,-2.0173,16.91991,0.989014,0.935934
Model 3,0.8,N = 500,".10, .30, .60",C,0.789999,-1.25245,16.17402,0.990494,0.9347
Model 3,0.8,N = 500,".10, .30, .60",D,0.792871,-0.89317,18.13145,0.9805579999999999,0.930616
Model 3,0.8,N = 500,".33, .33, .33",0.3,0.8076690000000001,0.96078,8.10874,1,0.934268
Model 3,0.8,N = 500,".33, .33, .33",0.5,0.8084180000000001,1.05447,6.9633,1,0.94565
Model 3,0.8,N = 500,".33, .33, .33",0.7,0.810673,1.33526,1.72347,1,0.922914
Model 3,0.8,N = 500,".33, .33, .33",0.9,0.811061,1.38341,6.03908,1,0.9423279999999999
Model 3,0.8,N = 500,".33, .33, .33",A,0.802778,0.34912,10.26368,1,0.949058
Model 3,0.8,N = 500,".33, .33, .33",B,0.819387,2.42079,7.69916,1,0.9084960000000001
Model 3,0.8,N = 500,".33, .33, .33",C,0.831797,3.9721100000000003,10.6151,1,0.89569
Model 3,0.8,N = 500,".33, .33, .33",D,0.8391649999999999,4.89321,16.34036,1,0.890094
Model 3,0.8,N = 500,".60, .30, .10",0.3,0.809416,1.17918,9.89565,1,0.95289
Model 3,0.8,N = 500,".60, .30, .10",0.5,0.8135049999999999,1.6865700000000001,12.418239999999999,1,0.9483159999999999
Model 3,0.8,N = 500,".60, .30, .10",0.7,0.815919,1.98735,16.33129,0.998308,0.915938
Model 3,0.8,N = 500,".60, .30, .10",0.9,0.816691,2.08388,10.23704,1,0.925408
Model 3,0.8,N = 500,".60, .30, .10",A,0.815214,1.8993600000000002,8.98939,1,0.9363
Model 3,0.8,N = 500,".60, .30, .10",B,0.81931,2.4112,6.97502,1,0.926222
Model 3,0.8,N = 500,".60, .30, .10",C,0.832187,4.02102,11.55218,1,0.886478
Model 3,0.8,N = 500,".60, .30, .10",D,0.843827,5.4758000000000004,8.27529,1,0.850816
Model 3,0.8,N = 5000,".10, .30, .60",0.3,0.795377,-0.58046,-1.5857999999999999,1,0.942908
Model 3,0.8,N = 5000,".10, .30, .60",0.5,0.789871,-1.26865,-0.50871,1,0.953102
Model 3,0.8,N = 5000,".10, .30, .60",0.7,0.787065,-1.61945,-2.1604799999999997,1,0.917996
Model 3,0.8,N = 5000,".10, .30, .60",0.9,0.783555,-2.05806,-3.7478800000000003,1,0.882336
Model 3,0.8,N = 5000,".10, .30, .60",A,0.779328,-2.58642,-0.38552000000000003,1,0.898002
Model 3,0.8,N = 5000,".10, .30, .60",B,0.818977,2.3696,1.88455,1,0.91633
Model 3,0.8,N = 5000,".10, .30, .60",C,0.835849,4.4786,5.0995099999999995,1,0.872148
Model 3,0.8,N = 5000,".10, .30, .60",D,0.8488899999999999,6.10875,4.70869,1,0.808212
Model 3,0.8,N = 5000,".33, .33, .33",0.3,0.8042490000000001,0.53362,2.3541999999999996,1,0.949542
Model 3,0.8,N = 5000,".33, .33, .33",0.5,0.807798,0.97694,2.00272,1,0.9189280000000001
Model 3,0.8,N = 5000,".33, .33, .33",0.7,0.8123630000000001,1.54405,3.11653,1,0.883766
Model 3,0.8,N = 5000,".33, .33, .33",0.9,0.812612,1.57421,5.23583,1,0.87378
Model 3,0.8,N = 5000,".33, .33, .33",A,0.8012680000000001,0.16093,2.9736,1,0.9543699999999999
Model 3,0.8,N = 5000,".33, .33, .33",B,0.8157129999999999,1.96164,5.636229999999999,1,0.879732
Model 3,0.8,N = 5000,".33, .33, .33",C,0.83272,4.08754,6.22449,1,0.664102
Model 3,0.8,N = 5000,".33, .33, .33",D,0.850113,6.26169,7.06633,1,0.41847
Model 3,0.8,N = 5000,".60, .30, .10",0.3,0.804826,0.60627,1.64015,1,0.936018
Model 3,0.8,N = 5000,".60, .30, .10",0.5,0.8101550000000001,1.27141,-0.6891800000000001,1,0.857246
Model 3,0.8,N = 5000,".60, .30, .10",0.7,0.8142889999999999,1.7841,-5.11605,1,0.722776
Model 3,0.8,N = 5000,".60, .30, .10",0.9,0.8157009999999999,1.96066,-1.75248,1,0.691208
Model 3,0.8,N = 5000,".60, .30, .10",A,0.8104870000000001,1.31338,-1.88978,1,0.861982
Model 3,0.8,N = 5000,".60, .30, .10",B,0.8140189999999999,1.7504,-0.01513999999999995,1,0.793786
Model 3,0.8,N = 5000,".60, .30, .10",C,0.8256399999999999,3.20267,-1.2290199999999998,1,0.527226
Model 3,0.8,N = 5000,".60, .30, .10",D,0.835711,4.46148,-4.47436,1,0.321974
