"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.8",0.2,0.8,"N = 2000","Mover",533,0.442,0.025,0.023,0.059,0,1,533,121,8.7,120.9405,7.46012,1,0
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0",0.2,0,"N = 2000","Mover",572,0.201,0.024,0.023,0.001,0.967,1,572,0.5,4.35,0.4925,2.899,1,1
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_1",0.2,1,"N = 2000","Mover",502,0.53,0.024,0.023,0.11,0,1,502,165,4.35,165.109,3.80717,1,0
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.2",0.6,0.2,"N = 2000","Stayer",580,0.61,0.025,0.024,0.001,0.933,1,580,1.67,4.17,1.70328,6.23971,1,1
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.4",0.6,0.4,"N = 2000","Stayer",565,0.634,0.024,0.025,0.002,0.713,1,565,5.67,-4,5.63907,-3.44403,1,0
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.6",0.6,0.6,"N = 2000","Stayer",555,0.67,0.023,0.023,0.005,0.157,1,555,11.67,0,11.67763,0.90036,1,0
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.8",0.6,0.8,"N = 2000","Stayer",626,0.715,0.022,0.022,0.014,0,1,626,19.17,0,19.14014,0.56523,1,0
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0",0.6,0,"N = 2000","Stayer",569,0.603,0.025,0.024,0.001,0.953,1,569,0.5,4.17,0.45832,3.96353,1,1
"rilta_lta_n_2000_tp_0.41_th_1_lambda_1",0.6,1,"N = 2000","Stayer",563,0.759,0.02,0.021,0.026,0,1,563,26.5,-4.76,26.4586,-2.22216,1,0
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.2",0.7,0.2,"N = 2000","Stayer",536,0.707,0.023,0.023,0.001,0.94,1,536,1,0,0.995,0.72688,1,1
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.4",0.7,0.4,"N = 2000","Stayer",626,0.722,0.023,0.023,0.001,0.839,1,626,3.14,0,3.12728,-0.15714,1,0
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.6",0.7,0.6,"N = 2000","Stayer",561,0.749,0.022,0.022,0.003,0.396,1,561,7,0,7.0436,-0.15937,1,0
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.8",0.7,0.8,"N = 2000","Stayer",623,0.782,0.021,0.02,0.007,0.026,1,623,11.71,5,11.70866,4.74457,1,0
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0",0.7,0,"N = 2000","Stayer",499,0.701,0.023,0.024,0.001,0.952,1,499,0.14,-4.17,0.16241,-2.29487,1,1
